|W|	SIw	P	R	F1	Poids(w,t)	Classifieur	TrainSetType	Category
130	rf	0.9032258064516129	0.9032258064516129	0.9032258064516129	logtfSIw * rf	KNN	part-queries-with-paragraph_text	p2
130	rf	1.0	0.0967741935483871	0.17647058823529413	logtfSIw * rf	SVM	part-queries-with-paragraph_text	p2
130	chi	0.8888888888888888	0.7741935483870968	0.8275862068965517	logtfSIw * chi	J48	part-queries-with-paragraph_text	p2
130	chi	0.782608695652174	0.5806451612903226	0.6666666666666667	logtfSIw * chi	NBM	part-queries-with-paragraph_text	p2
130	chi	0.7297297297297297	0.8709677419354839	0.7941176470588235	logtfSIw * chi	NB	part-queries-with-paragraph_text	p2
130	chi	0.9	0.8709677419354839	0.8852459016393444	logtfSIw * chi	KNN	part-queries-with-paragraph_text	p2
130	chi	0.8571428571428571	0.5806451612903226	0.6923076923076923	logtfSIw * chi	SVM	part-queries-with-paragraph_text	p2
130	ngl	0.8260869565217391	0.6129032258064516	0.7037037037037037	logtfSIw * ngl	J48	part-queries-with-paragraph_text	p2
130	ngl	0.8181818181818182	0.2903225806451613	0.4285714285714286	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	p2
130	ngl	0.7631578947368421	0.9354838709677419	0.8405797101449276	logtfSIw * ngl	NB	part-queries-with-paragraph_text	p2
130	ngl	0.896551724137931	0.8387096774193549	0.8666666666666666	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	p2
130	ngl	0.8636363636363636	0.6129032258064516	0.7169811320754716	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	p2
150	rf	0.9444444444444444	0.5483870967741935	0.6938775510204082	logtfSIw * rf	J48	part-queries-with-paragraph_text	p2
150	rf	1.0	0.03225806451612903	0.0625	logtfSIw * rf	NBM	part-queries-with-paragraph_text	p2
150	rf	0.8888888888888888	0.7741935483870968	0.8275862068965517	logtfSIw * rf	NB	part-queries-with-paragraph_text	p2
150	rf	0.9	0.8709677419354839	0.8852459016393444	logtfSIw * rf	KNN	part-queries-with-paragraph_text	p2
150	rf	1.0	0.12903225806451613	0.2285714285714286	logtfSIw * rf	SVM	part-queries-with-paragraph_text	p2
150	chi	0.8888888888888888	0.7741935483870968	0.8275862068965517	logtfSIw * chi	J48	part-queries-with-paragraph_text	p2
150	chi	0.88	0.7096774193548387	0.7857142857142856	logtfSIw * chi	NBM	part-queries-with-paragraph_text	p2
150	chi	0.75	0.8709677419354839	0.8059701492537312	logtfSIw * chi	NB	part-queries-with-paragraph_text	p2
150	chi	0.8787878787878788	0.9354838709677419	0.90625	logtfSIw * chi	KNN	part-queries-with-paragraph_text	p2
