|W|	SIw	P	R	F1	Poids(w,t)	Classifieur	TrainSetType	Category
130	chi	0.7894736842105263	0.5555555555555556	0.6521739130434783	logtfSIw * chi	NBM	part-queries-with-paragraph_text	pIII
130	chi	0.74	0.6851851851851852	0.7115384615384615	logtfSIw * chi	NB	part-queries-with-paragraph_text	pIII
130	chi	0.8461538461538461	0.8148148148148148	0.830188679245283	logtfSIw * chi	KNN	part-queries-with-paragraph_text	pIII
130	chi	0.8235294117647058	0.5185185185185185	0.6363636363636364	logtfSIw * chi	SVM	part-queries-with-paragraph_text	pIII
130	ngl	0.8478260869565217	0.7222222222222222	0.78	logtfSIw * ngl	J48	part-queries-with-paragraph_text	pIII
130	ngl	0.8095238095238095	0.3148148148148148	0.4533333333333333	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	pIII
130	ngl	0.7115384615384616	0.6851851851851852	0.6981132075471698	logtfSIw * ngl	NB	part-queries-with-paragraph_text	pIII
130	ngl	0.8571428571428571	0.7777777777777778	0.8155339805825242	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	pIII
130	ngl	0.875	0.5185185185185185	0.6511627906976744	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	pIII
150	rf	0.875	0.25925925925925924	0.39999999999999997	logtfSIw * rf	J48	part-queries-with-paragraph_text	pIII
150	rf	0.9166666666666666	0.2037037037037037	0.3333333333333333	logtfSIw * rf	NBM	part-queries-with-paragraph_text	pIII
150	rf	0.9	0.5	0.6428571428571429	logtfSIw * rf	NB	part-queries-with-paragraph_text	pIII
150	rf	0.8888888888888888	0.7407407407407407	0.808080808080808	logtfSIw * rf	KNN	part-queries-with-paragraph_text	pIII
150	rf	1.0	0.2222222222222222	0.3636363636363636	logtfSIw * rf	SVM	part-queries-with-paragraph_text	pIII
150	chi	0.8478260869565217	0.7222222222222222	0.78	logtfSIw * chi	J48	part-queries-with-paragraph_text	pIII
150	chi	0.7894736842105263	0.5555555555555556	0.6521739130434783	logtfSIw * chi	NBM	part-queries-with-paragraph_text	pIII
150	chi	0.7358490566037735	0.7222222222222222	0.7289719626168224	logtfSIw * chi	NB	part-queries-with-paragraph_text	pIII
150	chi	0.8461538461538461	0.8148148148148148	0.830188679245283	logtfSIw * chi	KNN	part-queries-with-paragraph_text	pIII
150	chi	0.8285714285714286	0.5370370370370371	0.651685393258427	logtfSIw * chi	SVM	part-queries-with-paragraph_text	pIII
150	ngl	0.8666666666666667	0.7222222222222222	0.7878787878787877	logtfSIw * ngl	J48	part-queries-with-paragraph_text	pIII
150	ngl	0.8571428571428571	0.3333333333333333	0.48	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	pIII
150	ngl	0.7142857142857143	0.7407407407407407	0.7272727272727273	logtfSIw * ngl	NB	part-queries-with-paragraph_text	pIII
150	ngl	0.86	0.7962962962962963	0.826923076923077	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	pIII
150	ngl	0.8823529411764706	0.5555555555555556	0.6818181818181819	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	pIII
