|W|	SIw	P	R	F1	Poids(w,t)	Classifieur	TrainSetType	Category
250	chi	1.0	0.15	0.2608695652173913	logtfSIw * chi	NBM	part-queries-with-paragraph_text	pI
250	chi	0.7142857142857143	0.75	0.7317073170731706	logtfSIw * chi	NB	part-queries-with-paragraph_text	pI
250	chi	0.7692307692307693	0.5	0.6060606060606061	logtfSIw * chi	KNN	part-queries-with-paragraph_text	pI
250	chi	1.0	0.1	0.18181818181818182	logtfSIw * chi	SVM	part-queries-with-paragraph_text	pI
250	ngl	0.9090909090909091	0.5	0.6451612903225806	logtfSIw * ngl	J48	part-queries-with-paragraph_text	pI
250	ngl	1.0	0.15	0.2608695652173913	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	pI
250	ngl	0.7142857142857143	0.75	0.7317073170731706	logtfSIw * ngl	NB	part-queries-with-paragraph_text	pI
250	ngl	0.7692307692307693	0.5	0.6060606060606061	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	pI
250	ngl	1.0	0.1	0.18181818181818182	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	pI
300	rf	0.8571428571428571	0.3	0.4444444444444444	logtfSIw * rf	J48	part-queries-with-paragraph_text	pI
300	rf	1.0	0.1	0.18181818181818182	logtfSIw * rf	NBM	part-queries-with-paragraph_text	pI
300	rf	1.0	0.5	0.6666666666666666	logtfSIw * rf	NB	part-queries-with-paragraph_text	pI
300	rf	1.0	0.5	0.6666666666666666	logtfSIw * rf	KNN	part-queries-with-paragraph_text	pI
300	rf	1.0	0.1	0.18181818181818182	logtfSIw * rf	SVM	part-queries-with-paragraph_text	pI
300	chi	0.9166666666666666	0.55	0.6874999999999999	logtfSIw * chi	J48	part-queries-with-paragraph_text	pI
300	chi	1.0	0.15	0.2608695652173913	logtfSIw * chi	NBM	part-queries-with-paragraph_text	pI
300	chi	0.8823529411764706	0.75	0.8108108108108107	logtfSIw * chi	NB	part-queries-with-paragraph_text	pI
300	chi	0.7692307692307693	0.5	0.6060606060606061	logtfSIw * chi	KNN	part-queries-with-paragraph_text	pI
300	chi	1.0	0.2	0.33333333333333337	logtfSIw * chi	SVM	part-queries-with-paragraph_text	pI
300	ngl	0.9166666666666666	0.55	0.6874999999999999	logtfSIw * ngl	J48	part-queries-with-paragraph_text	pI
300	ngl	1.0	0.15	0.2608695652173913	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	pI
300	ngl	0.8823529411764706	0.75	0.8108108108108107	logtfSIw * ngl	NB	part-queries-with-paragraph_text	pI
300	ngl	0.8461538461538461	0.55	0.6666666666666667	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	pI
300	ngl	1.0	0.2	0.33333333333333337	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	pI
400	rf	1.0	0.35	0.5185185185185185	logtfSIw * rf	J48	part-queries-with-paragraph_text	pI
400	rf	1.0	0.1	0.18181818181818182	logtfSIw * rf	NBM	part-queries-with-paragraph_text	pI
400	rf	0.9166666666666666	0.55	0.6874999999999999	logtfSIw * rf	NB	part-queries-with-paragraph_text	pI
400	rf	1.0	0.6	0.7499999999999999	logtfSIw * rf	KNN	part-queries-with-paragraph_text	pI
400	rf	0.6	0.15	0.24	logtfSIw * rf	SVM	part-queries-with-paragraph_text	pI
400	chi	0.9166666666666666	0.55	0.6874999999999999	logtfSIw * chi	J48	part-queries-with-paragraph_text	pI
400	chi	1.0	0.15	0.2608695652173913	logtfSIw * chi	NBM	part-queries-with-paragraph_text	pI
400	chi	0.8823529411764706	0.75	0.8108108108108107	logtfSIw * chi	NB	part-queries-with-paragraph_text	pI
400	chi	0.8333333333333334	0.5	0.625	logtfSIw * chi	KNN	part-queries-with-paragraph_text	pI
400	chi	1.0	0.2	0.33333333333333337	logtfSIw * chi	SVM	part-queries-with-paragraph_text	pI
400	ngl	0.9166666666666666	0.55	0.6874999999999999	logtfSIw * ngl	J48	part-queries-with-paragraph_text	pI
400	ngl	1.0	0.15	0.2608695652173913	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	pI
400	ngl	0.8823529411764706	0.75	0.8108108108108107	logtfSIw * ngl	NB	part-queries-with-paragraph_text	pI
400	ngl	0.8461538461538461	0.55	0.6666666666666667	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	pI
400	ngl	1.0	0.2	0.33333333333333337	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	pI
450	rf	1.0	0.35	0.5185185185185185	logtfSIw * rf	J48	part-queries-with-paragraph_text	pI
450	rf	1.0	0.1	0.18181818181818182	logtfSIw * rf	NBM	part-queries-with-paragraph_text	pI
450	rf	0.9166666666666666	0.55	0.6874999999999999	logtfSIw * rf	NB	part-queries-with-paragraph_text	pI
450	rf	1.0	0.6	0.7499999999999999	logtfSIw * rf	KNN	part-queries-with-paragraph_text	pI
450	rf	0.6	0.15	0.24	logtfSIw * rf	SVM	part-queries-with-paragraph_text	pI
450	chi	0.9230769230769231	0.6	0.7272727272727274	logtfSIw * chi	J48	part-queries-with-paragraph_text	pI
450	chi	1.0	0.15	0.2608695652173913	logtfSIw * chi	NBM	part-queries-with-paragraph_text	pI
450	chi	0.8823529411764706	0.75	0.8108108108108107	logtfSIw * chi	NB	part-queries-with-paragraph_text	pI
450	chi	0.9285714285714286	0.65	0.7647058823529412	logtfSIw * chi	KNN	part-queries-with-paragraph_text	pI
450	chi	0.8	0.2	0.32000000000000006	logtfSIw * chi	SVM	part-queries-with-paragraph_text	pI
450	ngl	0.9166666666666666	0.55	0.6874999999999999	logtfSIw * ngl	J48	part-queries-with-paragraph_text	pI
450	ngl	1.0	0.15	0.2608695652173913	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	pI
450	ngl	0.8823529411764706	0.75	0.8108108108108107	logtfSIw * ngl	NB	part-queries-with-paragraph_text	pI
450	ngl	0.9230769230769231	0.6	0.7272727272727274	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	pI
450	ngl	1.0	0.2	0.33333333333333337	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	pI
500	rf	1.0	0.35	0.5185185185185185	logtfSIw * rf	J48	part-queries-with-paragraph_text	pI
500	rf	1.0	0.1	0.18181818181818182	logtfSIw * rf	NBM	part-queries-with-paragraph_text	pI
500	rf	0.9166666666666666	0.55	0.6874999999999999	logtfSIw * rf	NB	part-queries-with-paragraph_text	pI
500	rf	1.0	0.6	0.7499999999999999	logtfSIw * rf	KNN	part-queries-with-paragraph_text	pI
500	rf	0.6	0.15	0.24	logtfSIw * rf	SVM	part-queries-with-paragraph_text	pI
